feminist,female,age,educ,income,dem,rep
50,0,32,14,12,0,0
50,1,57,14,1,0,1
50,0,44,16,18,0,1
70,1,42,17,15,0,1
50,1,59,12,10,1,0
50,0,64,17,11,1,0
85,0,88,13,16,1,0
100,0,54,9,12,1,0
50,1,56,12,17,1,0
50,1,23,14,9,0,0
60,0,26,14,13,0,0
50,1,47,14,9,1,0
60,1,53,12,16,0,1
50,1,66,17,3,0,0
50,0,42,12,18,1,0
50,1,48,14,16,0,1
70,1,52,12,13,1,0
40,0,31,16,16,0,1
0,1,62,11,7,0,0
70,0,79,17,17,0,0
25,1,26,16,17,0,1
85,1,28,17,11,1,0
85,0,55,12,11,1,0
50,1,69,13,7,0,1
85,0,45,16,16,0,0
70,1,44,17,8,0,0
50,1,59,14,3,1,0
50,1,55,12,17,1,0
40,0,70,12,14,0,1
30,1,54,13,13,0,0
100,1,61,13,1,1,0
85,1,40,16,1,1,0
85,1,41,10,14,1,0
60,0,43,16,8,1,0
60,0,59,16,10,0,1
50,1,82,13,5,0,1
70,1,51,17,17,1,0
40,0,51,6,13,1,0
70,1,33,13,1,1,0
70,1,79,15,16,0,1
100,1,47,13,11,1,0
85,1,40,12,9,1,0
85,1,78,15,6,0,0
50,1,38,12,16,1,0
15,1,66,14,15,0,1
15,0,27,16,16,0,1
85,1,43,16,13,1,0
70,1,61,14,14,1,0
60,0,54,17,12,0,0
50,0,56,13,12,0,0
50,1,70,12,7,1,0
50,1,70,13,7,0,1
50,1,44,16,20,0,0
70,1,52,12,16,1,0
60,1,24,16,15,0,0
85,1,58,17,18,0,0
70,1,33,13,15,1,0
100,1,46,16,1,0,0
50,1,32,14,18,1,0
60,1,63,16,3,1,0
50,0,27,12,13,1,0
85,1,62,15,25,0,1
30,0,69,17,12,0,1
85,0,73,17,16,1,0
85,1,51,14,12,1,0
15,0,62,9,2,1,0
30,1,55,12,12,1,0
50,1,56,12,1,0,0
50,0,47,12,12,1,0
50,0,42,16,18,0,0
70,1,22,14,8,1,0
100,0,55,17,4,0,0
40,0,35,13,23,0,0
70,1,51,14,14,0,0
60,0,40,17,23,1,0
70,1,80,13,9,0,0
40,0,54,13,13,0,1
60,0,63,14,12,1,0
50,0,59,12,7,1,0
50,0,50,16,5,0,1
40,0,53,16,25,0,0
0,0,61,10,7,1,0
100,1,29,12,7,0,0
100,1,61,12,13,1,0
50,0,23,12,14,0,0
85,1,54,12,13,1,0
60,0,78,12,9,0,1
50,1,84,12,13,0,1
60,1,46,13,11,0,1
40,0,53,16,3,0,0
60,1,30,14,12,0,0
50,1,39,17,15,0,1
60,1,45,16,19,0,1
40,0,45,13,13,0,1
40,0,59,12,7,1,0
85,0,60,12,17,0,0
70,1,46,6,12,1,0
30,1,60,16,9,0,1
40,1,33,16,13,0,1
100,1,43,12,6,1,0
30,0,78,16,13,0,0
85,1,54,14,14,0,0
65,0,23,17,4,0,0
50,1,66,17,14,1,0
60,1,54,12,10,0,1
0,0,60,14,11,0,1
70,0,51,14,15,0,0
50,0,62,12,10,0,0
50,0,30,13,17,0,0
40,0,26,12,16,0,0
50,1,49,16,9,1,0
40,0,58,12,24,1,0
100,1,47,16,2,0,0
50,0,76,17,6,0,1
100,1,45,16,17,1,0
0,1,66,13,4,0,0
90,0,23,16,18,0,0
50,0,53,14,13,0,0
100,1,26,16,12,1,0
50,0,65,12,11,0,0
50,1,41,16,17,1,0
70,0,68,12,16,1,0
60,1,58,12,14,1,0
50,0,57,16,25,0,1
50,0,33,16,15,0,0
50,0,45,15,4,1,0
70,0,28,15,13,0,0
40,0,30,16,9,1,0
15,0,46,14,19,0,0
30,0,59,16,13,0,0
50,0,70,13,11,0,0
40,1,22,16,13,0,1
100,1,44,16,12,0,0
30,0,28,13,18,0,0
85,1,76,12,11,1,0
50,0,43,12,13,0,1
50,0,50,14,12,1,0
85,1,86,12,9,0,0
60,1,25,16,12,1,0
50,1,52,10,5,0,0
40,1,42,17,1,0,0
30,1,73,8,2,1,0
50,0,36,14,19,0,0
75,0,32,14,13,0,0
60,1,43,17,17,1,0
50,1,66,14,12,0,1
50,1,44,10,19,1,0
50,0,56,14,19,0,0
50,0,24,17,1,0,0
85,1,39,16,17,0,0
50,1,23,16,8,1,0
70,0,38,17,18,0,1
50,0,33,13,19,1,0
50,0,65,14,17,1,0
60,1,49,13,14,0,0
50,0,34,15,11,1,0
50,1,64,12,4,1,0
40,0,39,16,15,0,1
50,0,45,16,18,1,0
50,1,31,13,18,0,1
60,1,37,14,12,1,0
70,1,24,17,2,0,0
40,0,45,17,7,0,0
50,1,71,13,3,0,0
70,1,45,17,13,1,0
60,0,38,15,12,1,0
50,1,22,16,7,0,1
30,0,22,15,7,0,1
50,0,47,12,17,1,0
50,1,37,14,9,1,0
85,1,24,14,2,1,0
70,1,59,14,13,0,1
85,1,76,13,9,1,0
70,0,78,12,7,0,1
50,0,52,10,3,1,0
70,0,54,12,8,0,0
85,1,62,16,17,0,1
60,0,51,16,15,1,0
70,1,25,17,13,0,1
50,1,34,17,17,1,0
50,0,60,14,8,1,0
60,1,67,17,13,0,0
70,1,68,17,10,1,0
50,1,50,17,13,0,0
70,1,39,12,2,1,0
15,0,72,12,17,0,0
85,1,34,12,1,0,0
60,1,25,13,13,0,0
40,0,76,13,17,0,1
50,0,27,14,14,0,0
30,0,35,14,19,1,0
40,1,81,13,6,0,0
30,0,61,16,20,0,1
100,0,72,9,4,0,0
50,0,45,16,21,0,1
50,0,42,12,4,1,0
70,1,53,13,1,0,1
75,0,28,16,9,0,0
70,1,37,16,15,0,0
40,1,53,13,7,0,1
70,1,44,16,21,0,0
15,0,62,14,18,0,1
50,0,47,11,7,1,0
50,1,53,12,10,0,0
70,1,37,16,1,0,1
15,1,53,12,1,0,0
40,0,39,13,15,1,0
60,1,33,14,16,0,0
60,1,38,16,14,1,0
50,1,28,16,7,0,0
50,0,27,16,17,0,0
70,1,53,14,18,1,0
70,0,58,17,18,1,0
60,0,31,17,17,1,0
70,1,58,12,3,1,0
50,0,35,12,1,0,0
50,0,73,7,2,1,0
70,1,42,16,19,0,1
85,1,30,14,11,1,0
100,0,30,15,17,1,0
70,1,55,12,8,0,1
50,0,59,16,18,0,0
50,1,59,6,3,0,0
100,1,60,14,12,1,0
40,1,72,17,19,0,0
40,0,50,10,12,0,1
70,1,36,16,14,0,0
0,1,61,14,12,0,1
50,0,54,12,20,0,1
70,0,80,9,11,0,1
85,0,45,16,22,1,0
85,0,61,17,3,0,0
70,1,72,12,12,1,0
40,1,82,9,7,1,0
60,1,65,16,19,0,1
70,0,64,17,11,1,0
30,1,52,12,4,0,1
15,0,50,14,18,0,0
70,1,42,13,11,1,0
50,0,46,15,21,0,1
0,1,47,12,2,0,0
85,1,57,12,16,0,1
70,1,47,17,17,0,1
60,0,80,15,9,0,0
85,0,73,6,15,1,0
50,0,54,17,18,0,1
85,1,45,7,1,0,0
100,1,73,7,2,1,0
0,0,23,14,18,0,1
40,1,23,14,10,1,0
70,1,44,13,11,0,1
80,1,69,6,4,0,0
60,1,32,16,12,0,0
60,0,72,6,7,1,0
50,0,35,17,17,0,0
60,1,35,11,1,0,1
60,0,67,6,3,0,0
50,0,24,14,13,1,0
70,1,55,12,19,0,1
0,0,37,15,13,0,0
70,1,63,12,3,0,1
70,0,85,7,12,1,0
30,0,71,12,10,0,0
50,1,42,14,13,0,1
50,0,23,15,7,1,0
50,0,38,17,20,0,0
50,1,28,13,15,1,0
70,0,49,14,21,0,1
45,1,53,14,17,1,0
60,1,79,13,8,1,0
80,1,57,17,16,1,0
60,1,54,13,13,1,0
40,0,40,12,13,0,0
60,1,70,17,7,0,1
60,0,32,17,20,1,0
30,1,80,5,4,1,0
50,1,50,12,12,1,0
50,1,37,12,13,0,1
50,1,66,11,7,1,0
50,1,61,17,18,0,0
85,1,56,16,20,0,0
70,0,58,10,14,1,0
50,1,53,14,19,0,1
85,1,22,12,1,1,0
0,0,35,16,21,0,0
70,1,79,11,9,1,0
85,0,65,10,4,0,0
85,1,40,17,9,0,0
50,0,23,14,6,1,0
100,0,27,14,21,0,0
60,1,49,16,1,0,1
50,0,71,12,12,0,1
85,0,37,12,9,1,0
60,1,45,12,1,1,0
85,0,50,16,25,0,1
50,0,42,12,25,0,1
40,0,64,12,25,0,1
60,1,44,17,23,1,0
85,1,74,9,3,1,0
60,1,58,12,11,0,0
15,0,65,11,9,0,1
60,1,64,17,18,1,0
100,1,41,17,14,1,0
85,1,68,6,1,1,0
70,1,78,14,17,0,1
40,1,82,12,3,1,0
50,0,51,12,14,1,0
50,0,50,17,19,0,0
85,1,76,14,12,1,0
50,0,37,9,3,1,0
70,1,50,13,4,0,0
15,1,51,12,9,0,0
70,1,75,12,13,0,1
50,0,64,12,15,1,0
40,0,63,17,8,0,0
70,1,58,12,1,1,0
40,0,47,14,14,0,0
40,0,38,14,18,0,1
50,1,27,12,1,0,1
50,1,66,16,11,0,1
50,1,52,12,15,0,1
70,1,60,13,5,0,0
60,0,50,4,19,1,0
85,1,47,11,1,1,0
40,1,56,17,16,0,1
35,0,25,13,12,0,0
40,1,66,16,11,0,0
60,0,52,16,18,0,0
60,1,39,15,1,1,0
70,1,86,12,6,0,0
60,0,57,12,9,1,0
100,1,24,16,9,1,0
30,1,39,17,16,1,0
50,1,62,12,11,1,0
40,0,60,16,15,1,0
60,0,56,13,18,0,1
70,0,58,12,12,1,0
60,0,86,10,6,1,0
35,0,27,10,5,0,0
60,1,57,13,7,0,0
50,0,53,12,13,0,1
85,0,23,16,12,1,0
50,0,78,12,11,1,0
70,1,72,12,11,1,0
15,0,62,17,24,0,0
50,1,23,12,6,0,0
70,1,65,14,12,1,0
85,1,32,17,18,0,0
70,0,67,12,10,0,0
15,0,67,17,25,0,1
70,1,75,6,9,0,1
40,1,81,12,6,0,0
85,1,34,16,10,1,0
40,1,48,12,1,1,0
85,1,74,17,8,1,0
70,1,74,14,15,1,0
40,1,75,12,10,0,1
100,1,65,14,4,1,0
80,1,65,12,12,1,0
30,1,46,16,13,0,1
50,0,51,16,15,0,1
70,0,78,7,7,1,0
70,0,36,13,18,1,0
60,0,60,14,18,1,0
50,1,51,12,1,1,0
70,1,79,12,12,1,0
85,1,30,17,13,0,0
30,1,57,14,5,1,0
15,0,27,16,15,1,0
60,1,26,13,12,0,0
50,0,42,12,8,0,0
10,0,46,17,22,0,1
85,1,31,16,21,1,0
50,0,56,14,18,0,1
85,0,55,12,17,1,0
50,0,70,16,7,0,0
85,1,56,16,17,1,0
50,1,74,12,21,0,1
70,1,37,14,16,1,0
50,0,57,16,8,0,1
60,1,74,12,12,0,0
50,0,75,15,15,0,0
60,0,61,16,17,1,0
60,0,56,12,9,1,0
70,0,33,17,18,1,0
85,1,50,15,9,1,0
85,1,64,14,2,1,0
60,1,65,12,7,1,0
100,1,46,12,7,1,0
85,0,69,12,13,1,0
60,0,64,12,7,0,0
70,0,74,14,8,0,1
50,0,53,14,18,0,1
100,0,77,16,12,0,1
85,0,28,14,4,0,0
50,0,57,12,21,0,0
40,0,35,16,23,0,1
40,0,62,14,17,0,1
85,1,61,14,1,1,0
15,1,48,15,3,0,1
70,0,35,12,1,0,1
60,1,72,12,9,0,1
70,1,48,12,12,0,1
50,0,70,17,17,1,0
15,0,24,12,10,0,0
100,1,59,17,15,1,0
85,0,80,17,13,0,0
50,1,46,11,8,1,0
60,1,43,17,19,1,0
15,1,78,16,10,0,0
50,0,55,12,2,0,0
60,1,52,12,1,1,0
50,0,44,17,24,1,0
70,1,60,12,1,1,0
100,1,71,17,18,0,0
50,1,57,12,17,0,1
60,1,70,15,13,1,0
70,0,39,17,19,1,0
60,1,30,14,10,1,0
60,0,44,12,5,1,0
50,1,77,12,14,0,1
70,1,27,17,16,1,0
85,1,64,16,19,1,0
50,0,22,13,7,0,0
60,1,69,13,6,1,0
100,1,35,14,11,1,0
50,1,46,12,14,0,0
60,0,57,12,13,0,1
100,0,41,15,13,0,1
85,1,43,12,1,1,0
30,0,62,13,19,0,1
30,1,63,12,7,1,0
50,1,26,16,10,0,1
40,0,75,14,4,1,0
50,0,39,16,17,0,0
50,1,49,12,11,1,0
50,1,72,12,4,1,0
85,1,48,13,12,0,1
100,0,35,11,1,1,0
40,1,47,12,17,0,1
60,1,30,17,11,1,0
15,1,48,14,3,0,1
60,1,38,12,3,0,0
70,1,25,16,5,1,0
60,1,37,17,19,0,0
60,1,34,16,13,1,0
70,1,42,14,5,0,0
40,0,55,12,17,0,1
100,0,67,17,17,1,0
15,1,60,12,14,0,1
60,1,56,11,13,1,0
50,1,70,12,3,0,1
70,1,65,12,9,1,0
50,1,75,10,7,1,0
60,1,30,15,10,0,0
50,1,39,10,3,0,0
100,1,58,12,16,1,0
70,1,38,16,14,1,0
30,1,67,14,3,0,1
85,1,46,12,15,1,0
50,1,25,12,10,1,0
70,0,38,16,18,0,1
40,1,62,12,12,0,0
70,1,50,14,12,1,0
50,0,58,12,6,1,0
50,0,44,13,22,1,0
60,0,47,17,25,0,1
50,0,84,11,8,0,0
90,1,75,16,14,0,1
50,0,38,15,18,0,0
50,1,41,17,14,0,1
70,0,32,17,18,1,0
50,0,48,12,13,0,0
50,0,46,13,12,1,0
50,1,52,15,1,0,0
50,0,39,12,15,0,0
100,1,49,12,7,1,0
60,1,68,14,16,0,1
30,1,40,13,13,1,0
70,0,68,12,4,0,1
50,0,20,12,8,0,0
85,1,33,17,19,1,0
85,1,48,16,18,1,0
100,1,39,14,12,1,0
60,1,52,16,14,0,1
100,0,73,12,9,1,0
70,0,47,17,23,0,0
70,1,59,10,8,1,0
50,0,48,17,20,0,0
70,1,58,14,8,0,0
85,1,20,13,5,1,0
50,1,25,12,8,1,0
60,0,35,15,15,0,0
40,0,57,12,10,1,0
50,0,48,14,22,0,1
40,0,27,13,14,0,0
15,1,47,12,8,0,0
70,0,67,10,7,1,0
50,1,48,13,13,0,0
40,1,66,12,1,0,0
60,1,29,13,8,1,0
40,1,66,13,6,1,0
30,1,62,12,5,0,0
60,0,32,12,10,1,0
30,0,30,14,14,0,1
60,1,87,12,10,0,0
50,1,37,12,10,1,0
40,1,56,13,8,0,0
50,0,59,12,25,0,1
60,0,27,16,2,0,0
50,1,61,12,5,1,0
60,1,73,12,7,1,0
60,1,63,13,13,1,0
50,0,25,15,14,0,1
50,1,52,12,1,0,1
50,1,24,12,2,0,1
40,1,26,17,15,0,0
40,1,53,12,11,0,1
50,1,59,12,7,0,1
40,0,32,12,17,0,0
50,1,57,8,1,1,0
60,0,47,17,21,0,0
40,1,32,14,14,0,0
60,1,41,14,16,0,1
85,1,33,17,16,1,0
50,0,36,12,6,0,0
70,1,56,17,13,0,0
70,1,52,17,15,1,0
50,1,40,12,4,0,0
70,1,55,12,3,1,0
50,1,54,16,5,0,0
50,0,24,15,19,1,0
50,0,76,12,12,1,0
50,0,38,17,18,0,0
50,1,34,12,3,1,0
85,1,67,12,12,0,0
60,1,37,12,18,1,0
40,1,37,17,16,1,0
15,0,60,12,19,1,0
70,1,50,17,12,0,1
85,0,57,14,16,1,0
50,1,69,12,11,0,0
70,1,44,17,18,1,0
50,0,32,16,17,1,0
70,0,54,17,20,0,1
85,0,50,16,18,0,0
85,0,30,12,10,0,0
60,1,51,16,15,1,0
50,1,69,14,1,0,0
85,1,50,13,14,1,0
50,1,41,12,12,1,0
50,1,74,16,12,0,0
100,0,32,16,15,1,0
40,1,62,16,15,1,0
50,0,51,16,25,1,0
70,1,49,13,4,1,0
50,0,28,12,4,0,0
50,1,66,17,18,1,0
0,0,45,12,14,0,1
50,1,36,14,18,1,0
60,1,84,12,5,0,0
60,1,34,14,13,0,0
0,0,28,12,3,1,0
40,0,60,15,14,0,0
60,0,47,12,17,0,0
50,0,32,17,13,1,0
50,1,51,16,22,1,0
60,0,50,17,14,1,0
85,0,32,17,16,0,0
40,0,37,17,15,0,0
70,1,40,13,6,1,0
60,1,26,13,9,0,0
60,1,83,14,6,0,0
0,0,30,12,9,0,1
40,0,61,13,14,0,0
85,1,33,11,1,1,0
50,0,54,12,13,1,0
60,0,32,16,13,0,0
100,1,53,12,1,0,0
40,0,26,12,9,0,1
85,1,37,13,11,0,0
70,1,52,13,12,1,0
50,1,30,15,15,0,1
70,1,54,13,1,1,0
85,1,52,11,11,0,0
100,0,36,12,11,1,0
15,1,83,12,5,1,0
70,1,66,17,18,1,0
50,0,85,12,7,1,0
50,1,45,14,14,1,0
85,0,67,12,13,1,0
70,1,36,16,20,0,1
60,0,48,12,4,0,1
50,1,30,13,17,0,0
30,0,31,15,11,1,0
70,1,58,17,18,1,0
50,0,46,10,14,0,1
50,0,40,12,13,1,0
70,0,71,14,11,0,1
85,1,36,12,15,1,0
70,0,31,14,14,0,1
45,1,31,17,23,0,1
50,0,36,17,25,0,1
50,1,54,15,17,0,0
100,0,78,9,1,0,1
60,0,52,14,13,1,0
50,1,30,16,14,0,0
60,1,53,12,12,1,0
70,1,63,12,1,0,0
100,0,40,12,10,1,0
70,1,31,11,3,1,0
50,0,23,12,12,1,0
85,1,29,14,2,0,0
85,1,53,13,12,1,0
0,1,74,10,3,0,0
0,0,57,12,12,1,0
60,0,79,17,12,1,0
85,1,38,17,21,1,0
50,0,40,12,3,1,0
40,0,49,12,14,0,0
40,0,43,12,22,0,1
70,1,52,16,9,0,1
70,0,47,14,13,1,0
40,1,41,16,1,0,1
100,1,47,11,3,1,0
85,0,77,13,10,1,0
85,1,67,16,14,0,0
0,0,57,14,7,1,0
85,1,28,12,17,0,0
85,1,64,12,6,1,0
100,1,25,17,4,1,0
40,1,38,15,11,0,0
60,0,62,16,18,0,0
50,1,42,14,16,0,0
30,0,77,17,7,0,0
100,0,44,12,11,1,0
85,1,69,13,6,0,0
70,0,55,16,19,1,0
85,1,47,12,14,0,0
50,1,46,14,20,0,0
50,0,35,17,17,0,0
60,1,40,12,16,1,0
50,0,80,12,12,1,0
85,1,55,12,20,1,0
70,0,55,16,18,1,0
50,1,54,14,13,1,0
40,1,54,12,12,0,1
100,1,33,16,16,0,0
50,1,56,14,16,1,0
50,0,26,14,3,0,0
15,1,32,12,13,0,1
50,0,34,16,23,0,1
15,0,43,12,24,0,0
100,0,50,13,12,1,0
60,1,64,9,3,1,0
50,1,27,17,10,1,0
85,1,40,12,8,1,0
70,1,47,12,6,0,1
50,1,34,12,12,0,0
60,1,55,14,11,0,1
50,0,45,12,13,0,0
60,1,33,13,1,0,0
85,1,42,12,8,1,0
60,0,34,14,17,1,0
70,1,47,11,12,1,0
60,0,70,10,5,1,0
50,1,64,14,13,1,0
70,1,61,17,23,1,0
100,0,71,6,22,0,1
40,1,36,12,8,0,1
70,1,24,14,6,1,0
50,1,35,12,1,1,0
0,0,61,16,23,0,0
65,1,23,15,1,0,0
50,0,54,13,18,0,1
40,1,53,17,1,0,0
100,1,39,16,2,0,1
100,0,27,12,2,1,0
30,1,46,16,4,0,1
70,1,39,17,16,1,0
50,0,60,16,19,0,0
50,0,37,13,14,1,0
85,1,57,12,12,1,0
85,1,40,14,12,0,0
70,0,37,12,2,1,0
50,0,46,14,11,1,0
70,1,35,16,14,1,0
50,0,49,16,20,1,0
60,0,55,14,3,0,0
50,1,33,15,11,0,0
30,1,24,15,10,0,0
70,1,68,13,10,1,0
50,0,70,14,25,0,1
60,0,35,16,18,1,0
40,1,61,13,17,0,0
50,1,41,16,19,0,1
85,0,32,15,12,1,0
85,1,36,12,11,1,0
40,0,36,16,21,0,1
70,0,43,14,18,1,0
70,1,82,12,1,1,0
70,0,59,17,18,0,0
70,1,51,13,14,0,0
85,0,63,17,17,1,0
40,1,45,12,1,0,1
70,0,75,12,17,0,1
40,1,43,15,13,0,1
40,1,40,16,16,1,0
50,0,44,14,9,0,1
60,1,25,16,18,0,1
30,0,57,17,13,0,1
60,0,27,14,19,0,0
60,0,69,17,15,0,0
70,0,22,15,3,0,0
70,1,45,13,1,0,1
70,1,69,17,15,1,0
100,0,41,13,2,1,0
70,1,78,16,12,1,0
15,0,77,16,16,0,1
50,0,63,14,15,0,0
50,1,39,12,14,1,0
60,0,70,12,14,1,0
60,0,86,8,3,1,0
85,0,91,12,11,1,0
0,1,57,17,23,0,0
60,0,38,16,13,1,0
50,1,40,14,17,0,0
70,1,58,12,4,0,0
85,1,30,16,10,1,0
0,1,56,17,2,0,0
85,1,31,12,7,0,1
60,1,61,13,9,1,0
70,0,45,15,14,0,0
40,1,40,14,9,1,0
50,1,49,14,3,1,0
85,1,59,17,9,1,0
85,0,80,8,12,1,0
0,1,37,16,16,0,1
70,0,57,14,14,0,0
30,1,72,12,17,0,0
50,0,49,13,13,0,0
40,0,52,17,14,1,0
100,1,91,12,1,1,0
70,1,50,13,16,1,0
50,1,66,16,16,1,0
85,1,58,12,6,1,0
50,1,34,12,17,0,0
50,0,46,17,19,1,0
50,0,34,12,15,1,0
80,0,31,16,14,1,0
50,0,22,14,1,0,0
70,1,61,11,1,1,0
30,1,66,17,12,0,1
50,0,90,12,13,0,1
85,1,23,13,6,0,0
70,1,67,12,19,0,1
60,1,49,14,13,1,0
60,1,31,14,10,1,0
40,1,65,16,8,0,0
40,1,78,13,14,0,1
70,0,27,16,13,0,0
60,0,37,12,14,1,0
50,1,48,17,18,1,0
85,1,31,16,17,0,1
60,1,48,12,10,1,0
30,1,58,12,9,0,1
50,1,45,14,16,1,0
40,1,51,10,1,1,0
70,1,73,14,13,0,1
50,0,72,13,8,0,1
60,0,57,14,15,0,0
70,1,59,14,12,1,0
40,0,46,14,19,0,0
40,1,62,12,14,0,1
85,1,65,12,6,0,1
50,0,50,12,17,0,0
60,1,65,12,12,1,0
85,1,53,16,5,1,0
60,0,85,3,6,1,0
70,1,57,16,15,0,0
85,1,50,15,15,1,0
70,1,52,13,3,1,0
70,1,25,13,6,1,0
60,0,48,16,12,1,0
60,0,77,12,14,1,0
70,1,48,14,18,0,0
86,1,35,17,18,1,0
70,1,27,9,16,0,0
85,0,37,12,13,1,0
50,1,26,17,6,0,1
40,0,62,15,17,0,1
50,1,44,12,11,1,0
70,0,27,17,12,1,0
50,1,37,14,12,0,0
60,1,46,16,7,1,0
50,0,38,13,19,0,0
50,0,68,12,12,0,0
75,0,49,17,20,1,0
30,1,53,14,11,1,0
30,1,37,12,4,0,0
100,1,56,13,14,1,0
50,1,25,17,15,0,1
15,1,77,14,10,0,0
50,1,30,16,12,0,1
50,1,51,17,21,0,0
60,1,76,14,13,0,1
60,0,52,14,13,0,0
100,1,24,16,7,0,0
40,1,29,15,1,0,1
70,0,57,16,17,1,0
85,1,26,13,16,1,0
50,1,58,17,13,1,0
60,1,29,17,15,1,0
60,1,68,14,9,0,0
85,1,57,16,14,0,0
50,1,54,8,7,0,0
50,1,31,17,15,0,1
30,0,36,15,20,0,1
50,0,31,12,18,1,0
40,0,57,16,17,0,0
85,0,52,16,13,1,0
50,0,49,14,18,1,0
40,0,44,17,22,0,0
30,1,65,17,18,0,1
60,0,46,16,18,0,0
60,0,51,15,14,1,0
60,1,50,15,19,0,0
85,1,51,13,12,0,0
60,1,65,15,10,0,0
15,0,67,12,9,0,0
75,1,45,16,21,0,0
40,0,24,16,7,1,0
50,1,69,12,12,1,0
85,1,83,13,13,1,0
15,1,50,16,14,0,0
60,0,33,10,16,0,0
50,0,36,16,12,1,0
50,0,25,14,2,0,0
50,1,57,10,1,1,0
70,1,66,13,8,1,0
60,1,38,17,12,1,0
40,0,45,14,16,0,0
70,1,50,13,3,1,0
70,1,46,16,18,1,0
70,1,50,12,12,1,0
30,0,90,8,19,0,1
50,1,40,14,14,1,0
70,0,46,11,14,0,0
60,1,59,12,7,0,0
85,0,27,17,16,0,0
50,0,22,12,7,0,0
50,1,63,12,11,1,0
30,1,62,14,12,0,0
50,1,53,13,4,0,1
85,1,27,17,10,1,0
15,0,22,12,15,1,0
100,1,77,12,11,1,0
60,1,59,16,12,1,0
90,0,78,9,4,1,0
40,0,81,13,17,0,0
50,1,28,13,12,1,0
50,1,35,11,10,0,0
30,1,24,11,21,0,0
100,1,59,12,15,0,0
50,0,68,12,25,0,1
9,0,50,12,14,1,0
50,0,23,11,7,0,1
70,1,59,12,11,1,0
40,0,48,12,15,0,0
100,1,87,8,9,1,0
50,1,52,14,5,0,0
15,0,40,17,15,1,0
70,1,41,14,9,0,0
85,1,53,15,13,0,0
15,1,36,17,4,0,1
30,0,50,12,17,1,0
30,0,60,16,18,0,1
85,1,69,14,8,1,0
50,0,69,14,15,0,1
50,1,47,10,1,1,0
40,1,64,12,17,0,0
50,1,65,13,14,1,0
70,0,59,15,4,0,0
85,1,48,10,1,0,1
100,1,52,9,4,1,0
40,1,38,12,6,0,0
100,1,67,11,3,1,0
85,1,52,12,11,1,0
70,1,42,12,11,0,0
0,1,49,15,5,0,0
50,0,28,12,9,0,0
70,1,33,12,5,0,0
60,1,34,14,3,1,0
85,1,57,12,23,0,0
60,0,35,12,9,1,0
100,1,49,10,3,1,0
15,1,54,14,7,0,1
15,1,62,9,3,0,0
50,0,27,10,1,1,0
85,0,24,13,13,0,1
0,0,70,12,6,1,0
50,1,71,12,5,1,0
70,0,55,14,18,0,1
50,1,37,12,6,0,0
70,1,80,15,4,1,0
60,1,30,16,17,0,0
100,1,60,12,11,1,0
50,1,34,16,13,0,0
50,1,48,12,11,0,1